'Time and date','Direct_1','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','EDF Annotations'
'[00:00:00.050 01/01/2011]',-24.400,-15.400,-4.800,-18.000,-21.700,0.579
'[00:00:00.051 01/01/2011]',-25.200,-15.500,-3.800,-18.100,-21.000,0.579
'[00:00:00.052 01/01/2011]',-25.500,-15.500,-2.900,-18.300,-20.400,0.579
'[00:00:00.053 01/01/2011]',-25.600,-15.700,-2.500,-18.600,-20.300,0.579
'[00:00:00.054 01/01/2011]',-25.900,-16.000,-2.700,-18.800,-20.400,0.579
'[00:00:00.055 01/01/2011]',-26.000,-16.400,-3.100,-19.100,-20.900,0.579
'[00:00:00.056 01/01/2011]',-25.900,-16.700,-3.400,-19.300,-21.400,0.579
'[00:00:00.057 01/01/2011]',-25.400,-16.600,-3.400,-19.300,-21.700,0.579
'[00:00:00.058 01/01/2011]',-24.900,-16.000,-2.800,-19.100,-21.600,0.579
'[00:00:00.059 01/01/2011]',-24.900,-14.900,-2.000,-18.600,-21.200,0.579
'[00:00:00.060 01/01/2011]',-25.700,-13.500,-1.300,-17.900,-20.800,0.822
'[00:00:00.061 01/01/2011]',-27.200,-12.300,-1.100,-17.300,-20.500,0.822
'[00:00:00.062 01/01/2011]',-28.800,-11.600,-1.300,-17.100,-20.400,0.822
'[00:00:00.063 01/01/2011]',-29.700,-11.300,-1.700,-17.200,-20.500,0.822
'[00:00:00.064 01/01/2011]',-29.700,-11.400,-2.000,-17.400,-20.500,0.822
'[00:00:00.065 01/01/2011]',-28.900,-11.500,-1.900,-17.400,-20.300,0.822
'[00:00:00.066 01/01/2011]',-27.700,-11.300,-1.300,-17.100,-19.900,0.822
'[00:00:00.067 01/01/2011]',-26.900,-10.900,-0.600,-16.500,-19.300,0.822
'[00:00:00.068 01/01/2011]',-26.900,-10.400,0.100,-15.900,-18.600,0.822
'[00:00:00.069 01/01/2011]',-27.600,-10.200,0.500,-15.600,-17.700,0.822
'[00:00:00.070 01/01/2011]',-28.200,-10.300,0.600,-15.600,-17.000,0.579
'[00:00:00.071 01/01/2011]',-28.100,-10.800,0.600,-15.800,-16.300,0.579
'[00:00:00.072 01/01/2011]',-27.000,-11.400,0.600,-15.900,-15.800,0.579
'[00:00:00.073 01/01/2011]',-25.200,-12.000,0.800,-15.700,-15.600,0.579
'[00:00:00.074 01/01/2011]',-23.200,-12.300,1.100,-15.400,-15.500,0.579
'[00:00:00.075 01/01/2011]',-21.900,-12.200,1.500,-15.000,-15.400,0.579
'[00:00:00.076 01/01/2011]',-21.700,-12.000,1.800,-15.000,-15.100,0.579
'[00:00:00.077 01/01/2011]',-22.500,-11.500,2.100,-15.200,-14.600,0.579
'[00:00:00.078 01/01/2011]',-23.700,-10.800,2.300,-15.300,-13.900,0.579
'[00:00:00.079 01/01/2011]',-24.800,-9.900,2.600,-15.100,-13.200,0.579
'[00:00:00.080 01/01/2011]',-25.300,-8.900,3.100,-14.300,-12.600,0.668
'[00:00:00.081 01/01/2011]',-25.200,-7.900,3.700,-13.000,-12.300,0.668
'[00:00:00.082 01/01/2011]',-24.700,-7.100,4.400,-11.800,-12.300,0.668
'[00:00:00.083 01/01/2011]',-24.000,-6.700,4.900,-11.000,-12.600,0.668
'[00:00:00.084 01/01/2011]',-23.500,-6.700,5.100,-10.700,-13.000,0.668
'[00:00:00.085 01/01/2011]',-23.200,-6.700,5.200,-10.800,-13.200,0.668
'[00:00:00.086 01/01/2011]',-23.100,-6.700,5.300,-10.800,-13.100,0.668
'[00:00:00.087 01/01/2011]',-23.100,-6.400,5.500,-10.600,-12.600,0.668
'[00:00:00.088 01/01/2011]',-23.200,-6.000,5.900,-10.000,-11.700,0.668
'[00:00:00.089 01/01/2011]',-23.100,-5.800,6.500,-9.300,-10.600,0.668
'[00:00:00.090 01/01/2011]',-23.100,-6.100,7.200,-8.800,-9.600,0.680
'[00:00:00.091 01/01/2011]',-23.100,-6.900,7.700,-8.600,-8.900,0.680
'[00:00:00.092 01/01/2011]',-23.200,-7.800,7.900,-8.900,-8.600,0.680
'[00:00:00.093 01/01/2011]',-23.700,-8.400,7.800,-9.400,-8.600,0.680
'[00:00:00.094 01/01/2011]',-24.100,-8.400,7.500,-9.700,-8.500,0.680
'[00:00:00.095 01/01/2011]',-24.500,-7.800,7.100,-9.700,-8.200,0.680
'[00:00:00.096 01/01/2011]',-24.300,-7.000,6.800,-9.400,-7.500,0.680
'[00:00:00.097 01/01/2011]',-23.700,-6.100,6.800,-8.800,-6.700,0.680
'[00:00:00.098 01/01/2011]',-23.100,-5.500,7.000,-8.200,-6.000,0.680
'[00:00:00.099 01/01/2011]',-22.900,-5.100,7.400,-7.800,-5.500,0.680
'[00:00:00.100 01/01/2011]',-23.600,-4.700,7.900,-7.600,-5.300,0.716
'[00:00:00.101 01/01/2011]',-25.200,-4.100,8.200,-7.500,-5.300,0.716
'[00:00:00.102 01/01/2011]',-27.200,-3.400,8.300,-7.400,-5.300,0.716
'[00:00:00.103 01/01/2011]',-28.900,-2.700,8.200,-7.100,-5.200,0.716
'[00:00:00.104 01/01/2011]',-30.000,-2.000,7.900,-6.700,-4.900,0.716
'[00:00:00.105 01/01/2011]',-30.600,-1.600,7.700,-6.100,-4.700,0.716
'[00:00:00.106 01/01/2011]',-31.000,-1.400,7.700,-5.400,-4.700,0.716
'[00:00:00.107 01/01/2011]',-31.600,-1.500,7.800,-4.900,-4.900,0.716
'[00:00:00.108 01/01/2011]',-32.400,-1.800,8.100,-4.600,-5.300,0.716
'[00:00:00.109 01/01/2011]',-33.301,-2.300,8.300,-4.700,-5.600,0.716
'[00:00:00.110 01/01/2011]',-34.201,-2.900,8.300,-4.900,-5.800,0.579
'[00:00:00.111 01/01/2011]',-34.901,-3.600,8.200,-5.300,-5.800,0.579
'[00:00:00.112 01/01/2011]',-35.501,-4.200,8.200,-5.600,-5.600,0.579
'[00:00:00.113 01/01/2011]',-36.301,-4.500,8.200,-5.800,-5.200,0.579
'[00:00:00.114 01/01/2011]',-37.201,-4.500,8.300,-5.600,-4.800,0.579
'[00:00:00.115 01/01/2011]',-37.901,-4.300,8.600,-5.100,-4.500,0.579
'[00:00:00.116 01/01/2011]',-38.101,-3.700,8.900,-4.400,-4.300,0.579
'[00:00:00.117 01/01/2011]',-37.501,-3.000,9.200,-3.700,-4.200,0.579
'[00:00:00.118 01/01/2011]',-36.401,-2.100,9.400,-3.100,-4.300,0.579
'[00:00:00.119 01/01/2011]',-35.001,-1.300,9.600,-2.700,-4.600,0.579
'[00:00:00.120 01/01/2011]',-33.601,-0.600,9.700,-2.400,-4.700,0.822
'[00:00:00.121 01/01/2011]',-32.700,-0.200,9.800,-2.100,-4.800,0.822
'[00:00:00.122 01/01/2011]',-32.200,0.000,9.900,-1.800,-4.700,0.822
'[00:00:00.123 01/01/2011]',-32.200,0.100,10.000,-1.500,-4.400,0.822
'[00:00:00.124 01/01/2011]',-32.400,0.200,10.200,-1.200,-3.900,0.822
'[00:00:00.125 01/01/2011]',-32.700,0.500,10.500,-0.900,-3.400,0.822
'[00:00:00.126 01/01/2011]',-32.801,0.900,10.800,-0.700,-2.900,0.822
'[00:00:00.127 01/01/2011]',-32.700,1.200,11.100,-0.500,-2.300,0.822
'[00:00:00.128 01/01/2011]',-32.400,1.300,11.300,-0.500,-1.700,0.822
'[00:00:00.129 01/01/2011]',-32.200,1.000,11.300,-0.800,-1.100,0.822
'[00:00:00.130 01/01/2011]',-32.300,0.400,11.400,-1.200,-0.400,0.579
'[00:00:00.131 01/01/2011]',-32.500,-0.300,11.400,-1.800,0.200,0.579
'[00:00:00.132 01/01/2011]',-32.801,-0.600,11.700,-2.300,0.700,0.579
'[00:00:00.133 01/01/2011]',-32.901,-0.700,12.200,-2.300,1.000,0.579
'[00:00:00.134 01/01/2011]',-32.700,-0.500,12.800,-1.700,1.200,0.579
'[00:00:00.135 01/01/2011]',-32.000,-0.300,13.300,-0.500,1.200,0.579
'[00:00:00.136 01/01/2011]',-31.200,-0.100,13.700,1.000,1.200,0.579
'[00:00:00.137 01/01/2011]',-30.500,0.100,13.900,2.300,1.200,0.579
'[00:00:00.138 01/01/2011]',-30.100,0.400,14.100,3.000,1.500,0.579
'[00:00:00.139 01/01/2011]',-29.900,1.000,14.400,3.200,2.000,0.579
'[00:00:00.140 01/01/2011]',-29.700,2.100,14.900,3.100,2.800,0.668
'[00:00:00.141 01/01/2011]',-29.300,3.200,15.600,3.100,3.600,0.668
'[00:00:00.142 01/01/2011]',-28.600,4.300,16.300,3.300,4.300,0.668
'[00:00:00.143 01/01/2011]',-27.500,5.100,16.900,3.800,4.800,0.668
'[00:00:00.144 01/01/2011]',-26.300,5.600,17.300,4.300,5.000,0.668
'[00:00:00.145 01/01/2011]',-25.400,6.000,17.300,4.600,5.000,0.668
'[00:00:00.146 01/01/2011]',-25.000,6.300,17.100,4.500,4.800,0.668
'[00:00:00.147 01/01/2011]',-25.100,6.400,16.800,4.200,4.500,0.668
'[00:00:00.148 01/01/2011]',-25.500,6.300,16.700,3.700,4.100,0.668
'[00:00:00.149 01/01/2011]',-25.900,5.900,16.700,3.400,3.700,0.668
'[00:00:00.150 01/01/2011]',-26.000,5.200,16.900,3.100,3.500,0.680
'[00:00:00.151 01/01/2011]',-25.600,4.400,17.300,3.000,3.500,0.680
'[00:00:00.152 01/01/2011]',-25.000,3.800,17.500,2.800,3.800,0.680
'[00:00:00.153 01/01/2011]',-24.400,3.500,17.500,2.600,4.300,0.680
'[00:00:00.154 01/01/2011]',-24.200,3.500,17.200,2.500,4.900,0.680
'[00:00:00.155 01/01/2011]',-24.300,3.700,16.800,2.700,5.500,0.680
'[00:00:00.156 01/01/2011]',-24.500,4.100,16.400,3.200,6.000,0.680
'[00:00:00.157 01/01/2011]',-24.300,4.500,16.400,4.000,6.500,0.680
'[00:00:00.158 01/01/2011]',-23.400,5.100,16.800,4.800,6.800,0.680
'[00:00:00.159 01/01/2011]',-21.900,5.800,17.400,5.500,7.100,0.680
'[00:00:00.160 01/01/2011]',-20.400,6.600,17.900,6.100,7.300,0.708
'[00:00:00.161 01/01/2011]',-19.500,7.400,18.200,6.500,7.500,0.708
'[00:00:00.162 01/01/2011]',-19.600,8.000,18.200,6.800,7.700,0.708
'[00:00:00.163 01/01/2011]',-20.700,8.500,18.000,7.200,7.800,0.708
'[00:00:00.164 01/01/2011]',-22.100,9.000,17.900,7.500,7.800,0.708
'[00:00:00.165 01/01/2011]',-23.100,9.400,18.100,7.900,7.900,0.708
'[00:00:00.166 01/01/2011]',-23.300,9.900,18.700,8.300,7.900,0.708
'[00:00:00.167 01/01/2011]',-22.900,10.200,19.600,8.600,7.900,0.708
'[00:00:00.168 01/01/2011]',-22.100,10.200,20.400,9.100,8.000,0.708
'[00:00:00.169 01/01/2011]',-21.400,10.000,21.000,9.700,8.100,0.708
'[00:00:00.170 01/01/2011]',-20.900,9.600,21.300,10.300,8.200,0.579
'[00:00:00.171 01/01/2011]',-20.400,9.100,21.300,10.700,8.500,0.579
'[00:00:00.172 01/01/2011]',-19.600,8.800,21.300,10.800,8.900,0.579
'[00:00:00.173 01/01/2011]',-18.600,8.700,21.300,10.500,9.200,0.579
'[00:00:00.174 01/01/2011]',-17.700,8.600,21.500,10.000,9.700,0.579
'[00:00:00.175 01/01/2011]',-17.500,8.500,21.800,9.500,10.100,0.579
'[00:00:00.176 01/01/2011]',-18.100,8.400,22.200,9.100,10.500,0.579
'[00:00:00.177 01/01/2011]',-19.400,8.500,22.500,9.000,10.700,0.579
'[00:00:00.178 01/01/2011]',-20.700,8.700,22.300,9.000,10.600,0.579
'[00:00:00.179 01/01/2011]',-21.200,9.300,21.700,8.900,10.200,0.579
'[00:00:00.180 01/01/2011]',-20.700,10.000,20.800,8.700,9.300,0.822
'[00:00:00.181 01/01/2011]',-19.500,10.700,19.800,8.400,8.400,0.822
'[00:00:00.182 01/01/2011]',-18.300,11.300,18.900,8.100,7.700,0.822
'[00:00:00.183 01/01/2011]',-17.700,11.700,18.600,8.100,7.400,0.822
'[00:00:00.184 01/01/2011]',-18.100,12.100,18.800,8.700,7.900,0.822
'[00:00:00.185 01/01/2011]',-18.800,12.700,19.700,9.800,9.100,0.822
'[00:00:00.186 01/01/2011]',-18.800,13.600,21.300,11.300,10.700,0.822
'[00:00:00.187 01/01/2011]',-17.000,14.800,23.200,13.100,12.400,0.822
'[00:00:00.188 01/01/2011]',-12.600,15.900,25.500,14.800,13.800,0.822
'[00:00:00.189 01/01/2011]',-5.600,16.600,27.700,16.200,15.100,0.822
'[00:00:00.190 01/01/2011]',3.300,16.900,29.900,17.300,16.100,0.579
'[00:00:00.191 01/01/2011]',13.100,16.700,31.900,17.900,17.100,0.579
'[00:00:00.192 01/01/2011]',22.900,16.300,33.701,18.200,18.300,0.579
'[00:00:00.193 01/01/2011]',32.100,15.900,35.301,18.500,19.800,0.579
'[00:00:00.194 01/01/2011]',40.501,15.700,36.601,19.000,21.400,0.579
'[00:00:00.195 01/01/2011]',47.701,15.900,37.401,19.700,22.900,0.579
'[00:00:00.196 01/01/2011]',53.201,16.300,37.701,20.700,24.200,0.579
'[00:00:00.197 01/01/2011]',56.801,16.800,37.801,21.900,25.300,0.579
'[00:00:00.198 01/01/2011]',58.301,17.400,37.801,23.100,26.500,0.579
'[00:00:00.199 01/01/2011]',57.701,18.000,38.101,24.200,27.900,0.579
'[00:00:00.200 01/01/2011]',55.801,18.600,38.901,25.100,29.800,0.668
'[00:00:00.201 01/01/2011]',53.301,19.400,40.201,25.800,32.000,0.668
'[00:00:00.202 01/01/2011]',50.801,20.500,41.601,26.500,34.201,0.668
'[00:00:00.203 01/01/2011]',49.001,21.700,43.001,27.200,36.001,0.668
'[00:00:00.204 01/01/2011]',47.901,22.900,44.001,28.000,37.301,0.668
'[00:00:00.205 01/01/2011]',47.501,24.000,44.801,28.900,37.901,0.668
'[00:00:00.206 01/01/2011]',47.701,24.700,45.401,29.900,38.001,0.668
'[00:00:00.207 01/01/2011]',48.301,24.700,46.001,30.500,37.501,0.668
'[00:00:00.208 01/01/2011]',49.001,24.200,46.501,30.600,36.601,0.668
'[00:00:00.209 01/01/2011]',49.401,23.400,46.501,30.000,35.301,0.668
'[00:00:00.210 01/01/2011]',48.801,22.500,45.801,28.700,33.501,0.680
'[00:00:00.211 01/01/2011]',46.301,21.800,44.201,26.700,31.300,0.680
'[00:00:00.212 01/01/2011]',41.201,21.300,41.501,24.400,28.700,0.680
'[00:00:00.213 01/01/2011]',33.301,20.800,38.301,22.100,25.900,0.680
'[00:00:00.214 01/01/2011]',22.700,20.100,34.901,20.200,23.100,0.680
'[00:00:00.215 01/01/2011]',10.200,19.300,31.900,18.800,20.600,0.680
'[00:00:00.216 01/01/2011]',-3.000,18.700,29.600,17.900,18.600,0.680
'[00:00:00.217 01/01/2011]',-15.400,18.500,28.200,17.600,17.300,0.680
'[00:00:00.218 01/01/2011]',-25.500,19.000,27.600,17.800,16.600,0.680
'[00:00:00.219 01/01/2011]',-32.100,20.000,27.700,18.500,16.500,0.680
'[00:00:00.220 01/01/2011]',-34.701,21.100,28.300,19.400,16.900,0.700
'[00:00:00.221 01/01/2011]',-33.501,21.800,29.000,20.400,17.500,0.700
'[00:00:00.222 01/01/2011]',-29.300,22.100,29.800,21.100,18.400,0.700
'[00:00:00.223 01/01/2011]',-23.300,22.000,30.300,21.600,19.300,0.700
'[00:00:00.224 01/01/2011]',-17.000,22.000,30.700,21.900,20.300,0.700
'[00:00:00.225 01/01/2011]',-11.400,22.200,31.100,22.300,21.100,0.700
'[00:00:00.226 01/01/2011]',-7.300,22.600,31.600,22.900,21.700,0.700
'[00:00:00.227 01/01/2011]',-4.700,23.000,32.400,23.800,22.100,0.700
'[00:00:00.228 01/01/2011]',-3.600,23.000,33.301,24.700,22.400,0.700
'[00:00:00.229 01/01/2011]',-3.400,22.700,34.201,25.400,22.600,0.700
'[00:00:00.230 01/01/2011]',-3.700,22.300,34.901,25.600,22.800,0.579
'[00:00:00.231 01/01/2011]',-4.100,22.000,35.101,25.400,23.100,0.579
'[00:00:00.232 01/01/2011]',-4.300,22.100,34.801,25.100,23.500,0.579
'[00:00:00.233 01/01/2011]',-4.300,22.300,34.101,24.900,23.800,0.579
'[00:00:00.234 01/01/2011]',-4.000,22.400,33.401,25.000,24.000,0.579
'[00:00:00.235 01/01/2011]',-3.600,22.100,32.801,25.300,24.000,0.579
'[00:00:00.236 01/01/2011]',-3.100,21.400,32.600,25.700,24.000,0.579
'[00:00:00.237 01/01/2011]',-2.700,20.600,32.700,26.000,24.100,0.579
'[00:00:00.238 01/01/2011]',-2.300,20.100,32.801,25.900,24.400,0.579
'[00:00:00.239 01/01/2011]',-1.700,20.400,32.901,25.700,24.900,0.579
'[00:00:00.240 01/01/2011]',-0.800,21.300,32.901,25.500,25.500,0.822
'[00:00:00.241 01/01/2011]',0.100,22.500,32.801,25.400,26.000,0.822
'[00:00:00.242 01/01/2011]',0.700,23.500,32.700,25.600,26.300,0.822
'[00:00:00.243 01/01/2011]',0.500,24.100,32.500,26.100,26.400,0.822
'[00:00:00.244 01/01/2011]',-0.700,24.300,32.400,26.600,26.200,0.822
'[00:00:00.245 01/01/2011]',-2.400,24.300,32.300,27.100,25.900,0.822
'[00:00:00.246 01/01/2011]',-4.000,24.400,32.200,27.300,25.700,0.822
'[00:00:00.247 01/01/2011]',-4.500,24.500,32.100,27.300,25.500,0.822
'[00:00:00.248 01/01/2011]',-3.600,24.700,32.200,27.100,25.600,0.822
'[00:00:00.249 01/01/2011]',-1.800,24.700,32.400,27.000,25.700,0.822
'[00:00:00.250 01/01/2011]',-0.100,24.300,32.700,27.000,26.100,0.579
'[00:00:00.251 01/01/2011]',0.900,23.900,33.301,27.200,26.600,0.579
'[00:00:00.252 01/01/2011]',0.700,23.300,34.101,27.600,27.200,0.579
'[00:00:00.253 01/01/2011]',-0.100,23.000,35.101,28.100,27.900,0.579
'[00:00:00.254 01/01/2011]',-1.000,22.700,36.001,28.300,28.500,0.579
'[00:00:00.255 01/01/2011]',-1.400,22.500,36.701,28.400,29.000,0.579
'[00:00:00.256 01/01/2011]',-1.200,22.200,37.101,28.300,29.300,0.579
'[00:00:00.257 01/01/2011]',-1.000,21.800,37.001,28.100,29.500,0.579
'[00:00:00.258 01/01/2011]',-1.000,21.600,36.701,28.000,29.500,0.579
'[00:00:00.259 01/01/2011]',-1.300,21.600,36.301,27.900,29.500,0.579
'[00:00:00.260 01/01/2011]',-1.400,22.100,35.801,28.100,29.500,0.668
'[00:00:00.261 01/01/2011]',-0.700,22.900,35.501,28.500,29.500,0.668
'[00:00:00.262 01/01/2011]',0.700,23.800,35.201,29.100,29.600,0.668
'[00:00:00.263 01/01/2011]',2.300,24.800,34.901,29.700,29.600,0.668
'[00:00:00.264 01/01/2011]',3.400,25.700,34.601,30.100,29.600,0.668
'[00:00:00.265 01/01/2011]',3.100,26.400,34.401,30.300,29.500,0.668
'[00:00:00.266 01/01/2011]',1.500,27.000,34.501,30.300,29.400,0.668
'[00:00:00.267 01/01/2011]',-0.600,27.400,34.901,30.000,29.300,0.668
'[00:00:00.268 01/01/2011]',-2.300,27.400,35.401,29.800,29.400,0.668
'[00:00:00.269 01/01/2011]',-2.500,27.200,36.001,29.800,29.700,0.668
'[00:00:00.270 01/01/2011]',-1.300,26.700,36.401,30.100,30.200,0.680
'[00:00:00.271 01/01/2011]',0.700,26.000,36.501,30.500,30.800,0.680
'[00:00:00.272 01/01/2011]',2.400,25.200,36.601,30.800,31.200,0.680
'[00:00:00.273 01/01/2011]',3.000,24.600,36.801,30.700,31.400,0.680
'[00:00:00.274 01/01/2011]',2.200,24.300,37.101,30.500,31.200,0.680
'[00:00:00.275 01/01/2011]',0.400,24.400,37.701,30.300,30.600,0.680
'[00:00:00.276 01/01/2011]',-1.600,24.700,38.301,30.300,30.000,0.680
'[00:00:00.277 01/01/2011]',-2.800,25.400,38.501,30.700,29.500,0.680
'[00:00:00.278 01/01/2011]',-2.900,26.100,38.401,31.200,29.300,0.680
'[00:00:00.279 01/01/2011]',-2.000,26.700,38.101,31.800,29.500,0.680
'[00:00:00.280 01/01/2011]',-0.700,27.300,37.701,32.100,30.000,0.688
'[00:00:00.281 01/01/2011]',0.400,27.800,37.501,32.100,30.500,0.688
'[00:00:00.282 01/01/2011]',0.900,28.200,37.601,32.000,31.000,0.688
'[00:00:00.283 01/01/2011]',0.800,28.800,38.001,32.100,31.200,0.688
'[00:00:00.284 01/01/2011]',0.300,29.400,38.401,32.400,31.200,0.688
'[00:00:00.285 01/01/2011]',-0.500,30.100,38.601,33.001,31.200,0.688
'[00:00:00.286 01/01/2011]',-1.500,30.700,38.601,33.501,31.400,0.688
'[00:00:00.287 01/01/2011]',-2.800,30.900,38.501,33.901,31.700,0.688
'[00:00:00.288 01/01/2011]',-4.100,30.600,38.301,34.101,32.200,0.688
'[00:00:00.289 01/01/2011]',-5.400,29.900,38.301,34.001,32.801,0.688
'[00:00:00.290 01/01/2011]',-6.200,29.000,38.301,33.701,33.201,0.579
'[00:00:00.291 01/01/2011]',-6.300,28.100,38.501,33.401,33.401,0.579
'[00:00:00.292 01/01/2011]',-5.700,27.600,38.601,33.101,33.201,0.579
'[00:00:00.293 01/01/2011]',-5.000,27.400,38.701,32.801,32.700,0.579
'[00:00:00.294 01/01/2011]',-4.500,27.600,38.801,32.600,32.200,0.579
'[00:00:00.295 01/01/2011]',-4.700,27.900,39.001,32.400,31.800,0.579
'[00:00:00.296 01/01/2011]',-5.900,28.300,39.201,32.400,31.600,0.579
'[00:00:00.297 01/01/2011]',-7.600,28.700,39.701,32.700,31.800,0.579
'[00:00:00.298 01/01/2011]',-9.300,29.300,40.301,33.301,32.200,0.579
'[00:00:00.299 01/01/2011]',-10.500,30.100,41.201,34.101,32.600,0.579
'[00:00:00.300 01/01/2011]',-10.800,31.100,42.401,35.101,32.700,0.822
'[00:00:00.301 01/01/2011]',-10.300,32.500,43.901,35.901,32.200,0.822
'[00:00:00.302 01/01/2011]',-9.400,34.001,45.801,36.401,31.000,0.822
'[00:00:00.303 01/01/2011]',-8.500,35.701,48.101,36.701,29.500,0.822
'[00:00:00.304 01/01/2011]',-8.100,37.501,50.701,36.901,27.800,0.822
'[00:00:00.305 01/01/2011]',-8.300,39.301,53.701,37.201,26.500,0.822
'[00:00:00.306 01/01/2011]',-9.100,41.101,57.201,38.101,25.700,0.822
'[00:00:00.307 01/01/2011]',-10.200,42.501,60.701,39.401,25.600,0.822
'[00:00:00.308 01/01/2011]',-11.300,43.501,64.101,41.001,25.800,0.822
'[00:00:00.309 01/01/2011]',-12.200,43.901,66.901,42.301,26.200,0.822
'[00:00:00.310 01/01/2011]',-12.800,43.801,69.001,43.101,26.600,0.579
'[00:00:00.311 01/01/2011]',-13.100,43.401,70.301,43.101,27.200,0.579
