'Time and date','Direct_1','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','EDF Annotations'
'[00:00:00.088 01/01/2011]',-62.001,54.501,51.101,8.200,15.300,0.668
'[00:00:00.089 01/01/2011]',-60.901,54.401,51.601,8.000,15.700,0.668
'[00:00:00.090 01/01/2011]',-59.001,54.701,52.401,7.700,16.500,0.680
'[00:00:00.091 01/01/2011]',-57.501,55.601,53.401,7.300,17.400,0.680
'[00:00:00.092 01/01/2011]',-57.601,56.401,54.401,6.900,18.000,0.680
'[00:00:00.093 01/01/2011]',-59.401,56.701,55.201,6.700,18.300,0.680
'[00:00:00.094 01/01/2011]',-62.001,56.101,56.001,6.700,18.200,0.680
'[00:00:00.095 01/01/2011]',-64.201,54.801,56.801,7.000,17.900,0.680
'[00:00:00.096 01/01/2011]',-65.101,53.401,57.601,7.400,17.700,0.680
'[00:00:00.097 01/01/2011]',-64.601,52.301,58.201,7.700,17.600,0.680
'[00:00:00.098 01/01/2011]',-63.401,51.901,58.401,7.700,17.500,0.680
'[00:00:00.099 01/01/2011]',-62.501,52.001,58.101,7.600,17.300,0.680
'[00:00:00.100 01/01/2011]',-62.301,52.401,57.501,7.400,17.000,0.708
'[00:00:00.101 01/01/2011]',-62.901,52.801,57.001,7.300,16.400,0.708
'[00:00:00.102 01/01/2011]',-64.001,53.101,56.901,7.600,15.700,0.708
'[00:00:00.103 01/01/2011]',-65.201,53.301,57.301,7.900,15.000,0.708
'[00:00:00.104 01/01/2011]',-66.101,53.601,58.301,8.300,14.600,0.708
'[00:00:00.105 01/01/2011]',-66.601,54.101,59.601,8.600,14.500,0.708
'[00:00:00.106 01/01/2011]',-66.701,54.501,61.001,8.800,14.900,0.708
'[00:00:00.107 01/01/2011]',-66.401,55.001,62.401,8.800,15.800,0.708
'[00:00:00.108 01/01/2011]',-66.101,55.501,63.701,8.800,16.900,0.708
'[00:00:00.109 01/01/2011]',-66.301,56.101,64.801,8.900,17.900,0.708
'[00:00:00.110 01/01/2011]',-67.301,56.901,65.701,9.000,18.700,0.579
'[00:00:00.111 01/01/2011]',-69.101,58.101,66.301,9.300,19.300,0.579
'[00:00:00.112 01/01/2011]',-71.401,59.301,66.601,9.500,19.500,0.579
'[00:00:00.113 01/01/2011]',-73.401,60.201,66.501,9.500,19.500,0.579
'[00:00:00.114 01/01/2011]',-74.401,60.501,66.001,9.000,19.100,0.579
'[00:00:00.115 01/01/2011]',-74.101,60.001,65.101,8.000,18.400,0.579
'[00:00:00.116 01/01/2011]',-73.001,59.001,63.801,6.500,17.300,0.579
'[00:00:00.117 01/01/2011]',-71.501,57.601,62.101,5.000,15.900,0.579
'[00:00:00.118 01/01/2011]',-70.201,56.001,60.401,3.700,14.500,0.579
'[00:00:00.119 01/01/2011]',-69.401,54.601,58.901,3.100,13.500,0.579
'[00:00:00.120 01/01/2011]',-69.001,53.501,57.901,3.000,13.300,0.822
'[00:00:00.121 01/01/2011]',-68.701,53.101,57.801,3.300,13.700,0.822
'[00:00:00.122 01/01/2011]',-68.401,53.301,58.501,3.300,14.600,0.822
'[00:00:00.123 01/01/2011]',-68.001,53.901,59.501,2.900,15.500,0.822
'[00:00:00.124 01/01/2011]',-67.601,54.601,60.501,2.200,16.200,0.822
'[00:00:00.125 01/01/2011]',-67.201,54.901,60.801,1.900,16.600,0.822
'[00:00:00.126 01/01/2011]',-66.601,54.401,60.401,2.200,17.000,0.822
'[00:00:00.127 01/01/2011]',-65.601,53.101,59.601,3.600,17.700,0.822
'[00:00:00.128 01/01/2011]',-64.201,51.401,59.101,5.700,18.900,0.822
'[00:00:00.129 01/01/2011]',-62.501,49.801,59.201,7.900,20.400,0.822
'[00:00:00.130 01/01/2011]',-61.101,48.801,60.101,9.500,21.700,0.579
'[00:00:00.131 01/01/2011]',-60.301,48.501,61.501,10.300,22.400,0.579
'[00:00:00.132 01/01/2011]',-60.301,48.701,62.801,10.300,22.100,0.579
'[00:00:00.133 01/01/2011]',-60.901,49.301,63.501,10.000,21.100,0.579
'[00:00:00.134 01/01/2011]',-61.801,50.201,63.501,10.000,20.000,0.579
'[00:00:00.135 01/01/2011]',-62.801,51.301,63.101,10.400,19.600,0.579
'[00:00:00.136 01/01/2011]',-63.901,52.701,62.601,11.000,20.200,0.579
'[00:00:00.137 01/01/2011]',-65.101,54.601,62.301,11.700,21.500,0.579
'[00:00:00.138 01/01/2011]',-66.301,56.801,62.401,11.900,22.800,0.579
'[00:00:00.139 01/01/2011]',-67.001,58.801,62.501,11.600,23.400,0.579
'[00:00:00.140 01/01/2011]',-66.801,60.101,62.401,10.800,22.900,0.668
'[00:00:00.141 01/01/2011]',-65.301,60.501,62.001,9.900,21.700,0.668
'[00:00:00.142 01/01/2011]',-63.101,60.101,61.501,9.100,20.400,0.668
'[00:00:00.143 01/01/2011]',-61.001,59.201,61.201,8.500,19.600,0.668
'[00:00:00.144 01/01/2011]',-60.101,58.501,61.301,8.300,19.500,0.668
'[00:00:00.145 01/01/2011]',-61.001,58.301,61.401,8.100,19.700,0.668
'[00:00:00.146 01/01/2011]',-63.201,58.701,61.401,8.000,19.700,0.668
'[00:00:00.147 01/01/2011]',-65.601,59.501,60.701,7.700,18.900,0.668
'[00:00:00.148 01/01/2011]',-67.101,60.201,59.301,7.300,17.600,0.668
'[00:00:00.149 01/01/2011]',-67.001,60.701,57.501,6.900,16.000,0.668
'[00:00:00.150 01/01/2011]',-65.701,61.201,56.001,6.700,14.900,0.680
'[00:00:00.151 01/01/2011]',-64.201,61.801,55.301,6.700,14.500,0.680
'[00:00:00.152 01/01/2011]',-63.501,62.701,55.401,7.000,14.900,0.680
'[00:00:00.153 01/01/2011]',-63.901,63.901,56.001,7.500,15.600,0.680
'[00:00:00.154 01/01/2011]',-64.801,64.901,56.501,7.900,16.400,0.680
'[00:00:00.155 01/01/2011]',-64.901,65.301,56.501,8.000,16.900,0.680
'[00:00:00.156 01/01/2011]',-63.501,64.801,55.701,7.500,16.900,0.680
'[00:00:00.157 01/01/2011]',-60.401,63.501,54.501,6.600,16.400,0.680
'[00:00:00.158 01/01/2011]',-56.701,61.501,53.201,5.400,15.500,0.680
'[00:00:00.159 01/01/2011]',-53.901,59.301,52.101,4.400,14.300,0.680
'[00:00:00.160 01/01/2011]',-53.001,57.101,51.201,3.800,13.100,0.723
'[00:00:00.161 01/01/2011]',-54.301,55.301,50.401,4.000,12.200,0.723
'[00:00:00.162 01/01/2011]',-56.701,54.101,49.601,4.500,11.800,0.723
'[00:00:00.163 01/01/2011]',-58.801,53.601,48.901,5.300,12.100,0.723
'[00:00:00.164 01/01/2011]',-59.701,54.001,48.601,6.100,13.100,0.723
'[00:00:00.165 01/01/2011]',-59.301,55.201,49.001,6.800,14.500,0.723
'[00:00:00.166 01/01/2011]',-58.501,57.001,50.301,7.700,16.000,0.723
'[00:00:00.167 01/01/2011]',-58.301,58.701,52.201,8.900,17.200,0.723
'[00:00:00.168 01/01/2011]',-59.501,59.901,54.201,10.500,18.000,0.723
'[00:00:00.169 01/01/2011]',-61.701,60.501,56.001,12.100,18.300,0.723
'[00:00:00.170 01/01/2011]',-63.801,60.801,57.301,13.600,18.300,0.579
'[00:00:00.171 01/01/2011]',-64.501,61.201,58.101,15.100,18.500,0.579
'[00:00:00.172 01/01/2011]',-63.401,62.001,58.801,16.700,19.400,0.579
'[00:00:00.173 01/01/2011]',-60.801,63.201,59.801,18.600,21.100,0.579
'[00:00:00.174 01/01/2011]',-57.801,64.501,61.301,20.900,23.600,0.579
'[00:00:00.175 01/01/2011]',-55.801,65.401,63.301,23.300,26.400,0.579
'[00:00:00.176 01/01/2011]',-55.401,65.601,65.201,25.200,29.100,0.579
'[00:00:00.177 01/01/2011]',-56.101,64.901,66.601,26.300,31.300,0.579
'[00:00:00.178 01/01/2011]',-57.201,63.501,67.001,26.400,32.901,0.579
'[00:00:00.179 01/01/2011]',-57.801,61.301,66.401,25.900,34.001,0.579
'[00:00:00.180 01/01/2011]',-57.501,58.401,65.001,25.300,35.201,0.822
'[00:00:00.181 01/01/2011]',-57.001,54.701,63.101,24.800,36.701,0.822
'[00:00:00.182 01/01/2011]',-57.201,50.301,61.301,24.500,38.701,0.822
'[00:00:00.183 01/01/2011]',-59.001,45.301,59.801,24.200,41.001,0.822
'[00:00:00.184 01/01/2011]',-62.301,40.201,58.701,23.900,43.101,0.822
'[00:00:00.185 01/01/2011]',-66.101,35.201,57.801,23.400,44.901,0.822
'[00:00:00.186 01/01/2011]',-69.101,30.300,56.801,22.900,46.301,0.822
'[00:00:00.187 01/01/2011]',-70.301,25.700,55.601,22.100,47.501,0.822
'[00:00:00.188 01/01/2011]',-69.801,21.200,54.101,21.000,48.901,0.822
'[00:00:00.189 01/01/2011]',-68.301,16.900,52.801,19.600,50.601,0.822
'[00:00:00.190 01/01/2011]',-66.701,12.800,52.001,17.800,52.701,0.579
'[00:00:00.191 01/01/2011]',-65.201,8.700,51.801,15.900,55.001,0.579
'[00:00:00.192 01/01/2011]',-63.001,4.400,52.001,14.200,57.201,0.579
'[00:00:00.193 01/01/2011]',-58.601,0.000,52.201,13.100,59.101,0.579
'[00:00:00.194 01/01/2011]',-51.001,-4.600,52.001,12.500,60.601,0.579
'[00:00:00.195 01/01/2011]',-40.201,-8.800,51.401,12.500,61.701,0.579
'[00:00:00.196 01/01/2011]',-27.400,-12.100,50.901,13.000,63.001,0.579
'[00:00:00.197 01/01/2011]',-13.800,-13.700,51.601,13.900,64.901,0.579
'[00:00:00.198 01/01/2011]',0.100,-13.300,53.901,15.600,67.901,0.579
'[00:00:00.199 01/01/2011]',14.700,-11.000,58.001,18.000,71.801,0.579
'[00:00:00.200 01/01/2011]',30.800,-7.300,63.001,21.200,76.101,0.668
'[00:00:00.201 01/01/2011]',48.401,-3.400,67.401,24.600,79.801,0.668
'[00:00:00.202 01/01/2011]',65.701,0.000,70.201,27.200,81.901,0.668
'[00:00:00.203 01/01/2011]',79.801,2.300,70.701,28.500,81.401,0.668
'[00:00:00.204 01/01/2011]',87.501,3.700,69.001,27.900,78.101,0.668
'[00:00:00.205 01/01/2011]',87.401,4.400,65.901,25.500,72.201,0.668
'[00:00:00.206 01/01/2011]',79.801,5.200,62.001,21.700,64.201,0.668
'[00:00:00.207 01/01/2011]',66.801,6.300,57.501,16.900,54.801,0.668
'[00:00:00.208 01/01/2011]',50.801,7.800,52.601,11.500,44.101,0.668
'[00:00:00.209 01/01/2011]',33.701,9.300,47.001,5.400,32.400,0.668
'[00:00:00.210 01/01/2011]',15.800,10.500,41.001,-1.300,19.800,0.680
'[00:00:00.211 01/01/2011]',-3.600,11.100,35.001,-8.400,6.600,0.680
'[00:00:00.212 01/01/2011]',-25.600,11.200,29.600,-15.400,-6.400,0.680
'[00:00:00.213 01/01/2011]',-50.401,11.400,25.500,-21.400,-17.900,0.680
'[00:00:00.214 01/01/2011]',-77.001,12.100,22.800,-25.700,-26.900,0.680
'[00:00:00.215 01/01/2011]',-103.302,13.500,21.600,-27.800,-32.400,0.680
'[00:00:00.216 01/01/2011]',-126.102,15.600,21.600,-27.700,-34.501,0.680
'[00:00:00.217 01/01/2011]',-142.902,18.300,22.500,-26.100,-33.701,0.680
'[00:00:00.218 01/01/2011]',-152.002,21.300,24.200,-23.600,-31.000,0.680
'[00:00:00.219 01/01/2011]',-153.502,24.500,26.300,-21.100,-27.500,0.680
'[00:00:00.220 01/01/2011]',-149.202,27.800,28.800,-18.800,-24.300,0.700
'[00:00:00.221 01/01/2011]',-141.602,31.000,31.300,-17.000,-21.600,0.700
'[00:00:00.222 01/01/2011]',-132.802,33.601,33.401,-15.700,-19.500,0.700
'[00:00:00.223 01/01/2011]',-123.802,35.301,35.001,-15.000,-17.700,0.700
'[00:00:00.224 01/01/2011]',-114.502,35.801,35.901,-14.900,-16.000,0.700
'[00:00:00.225 01/01/2011]',-104.102,35.401,36.101,-15.400,-14.200,0.700
'[00:00:00.226 01/01/2011]',-92.401,34.401,36.201,-16.100,-12.600,0.700
'[00:00:00.227 01/01/2011]',-79.901,33.501,36.301,-16.700,-11.500,0.700
'[00:00:00.228 01/01/2011]',-68.001,33.101,36.701,-16.800,-11.100,0.700
'[00:00:00.229 01/01/2011]',-58.201,33.401,37.501,-16.300,-11.300,0.700
'[00:00:00.230 01/01/2011]',-51.701,34.401,38.401,-15.400,-11.700,0.579
'[00:00:00.231 01/01/2011]',-48.501,35.701,39.101,-14.700,-11.900,0.579
'[00:00:00.232 01/01/2011]',-47.801,36.901,39.601,-14.600,-11.600,0.579
'[00:00:00.233 01/01/2011]',-48.301,37.801,39.701,-15.100,-10.700,0.579
'[00:00:00.234 01/01/2011]',-48.701,38.401,39.601,-15.900,-9.500,0.579
'[00:00:00.235 01/01/2011]',-48.201,38.601,39.801,-16.200,-8.200,0.579
'[00:00:00.236 01/01/2011]',-47.101,38.601,40.301,-15.700,-6.900,0.579
'[00:00:00.237 01/01/2011]',-46.101,38.601,41.101,-14.100,-5.600,0.579
'[00:00:00.238 01/01/2011]',-46.101,38.901,42.201,-12.000,-4.200,0.579
'[00:00:00.239 01/01/2011]',-47.801,39.501,43.201,-10.000,-2.700,0.579
'[00:00:00.240 01/01/2011]',-50.801,40.501,44.101,-8.400,-1.200,0.822
'[00:00:00.241 01/01/2011]',-54.001,41.801,44.901,-7.500,0.100,0.822
'[00:00:00.242 01/01/2011]',-55.701,42.901,45.601,-6.700,1.300,0.822
'[00:00:00.243 01/01/2011]',-55.101,43.701,46.201,-5.700,2.200,0.822
'[00:00:00.244 01/01/2011]',-52.501,44.101,46.401,-4.200,3.000,0.822
'[00:00:00.245 01/01/2011]',-49.101,44.001,46.101,-2.300,3.700,0.822
'[00:00:00.246 01/01/2011]',-46.801,43.601,45.201,-0.400,4.400,0.822
'[00:00:00.247 01/01/2011]',-46.801,43.301,43.901,1.100,5.000,0.822
'[00:00:00.248 01/01/2011]',-48.901,43.201,42.601,2.000,5.400,0.822
'[00:00:00.249 01/01/2011]',-52.101,43.401,41.801,2.300,5.600,0.822
'[00:00:00.250 01/01/2011]',-54.501,43.901,41.901,2.500,5.400,0.579
'[00:00:00.251 01/01/2011]',-54.901,44.701,42.701,2.600,5.000,0.579
'[00:00:00.252 01/01/2011]',-52.901,45.601,43.801,2.700,4.500,0.579
'[00:00:00.253 01/01/2011]',-49.601,46.301,44.801,2.800,3.900,0.579
'[00:00:00.254 01/01/2011]',-46.201,46.801,45.301,2.700,3.200,0.579
'[00:00:00.255 01/01/2011]',-43.901,47.001,45.101,2.400,2.700,0.579
'[00:00:00.256 01/01/2011]',-42.801,46.901,44.601,1.900,2.400,0.579
'[00:00:00.257 01/01/2011]',-42.501,46.601,43.901,1.500,2.500,0.579
'[00:00:00.258 01/01/2011]',-42.401,46.101,43.201,1.300,2.900,0.579
'[00:00:00.259 01/01/2011]',-42.201,45.501,42.701,1.200,3.200,0.579
'[00:00:00.260 01/01/2011]',-42.101,45.001,42.001,1.100,3.100,0.668
'[00:00:00.261 01/01/2011]',-42.701,44.301,41.001,0.800,2.200,0.668
'[00:00:00.262 01/01/2011]',-44.201,43.601,39.701,0.200,0.600,0.668
'[00:00:00.263 01/01/2011]',-46.301,42.801,38.101,-0.500,-1.400,0.668
'[00:00:00.264 01/01/2011]',-48.301,41.901,36.701,-1.100,-3.200,0.668
'[00:00:00.265 01/01/2011]',-49.501,41.101,35.601,-1.400,-4.400,0.668
'[00:00:00.266 01/01/2011]',-49.501,40.501,35.201,-1.100,-4.700,0.668
'[00:00:00.267 01/01/2011]',-48.701,40.201,35.301,-0.300,-4.400,0.668
'[00:00:00.268 01/01/2011]',-47.501,40.101,35.901,0.800,-3.500,0.668
'[00:00:00.269 01/01/2011]',-46.401,40.101,36.601,2.000,-2.500,0.668
'[00:00:00.270 01/01/2011]',-45.501,40.001,37.201,2.800,-1.500,0.680
'[00:00:00.271 01/01/2011]',-44.801,39.701,38.001,3.300,-0.400,0.680
'[00:00:00.272 01/01/2011]',-43.801,39.301,38.901,3.300,0.800,0.680
'[00:00:00.273 01/01/2011]',-42.501,38.801,40.201,3.200,2.100,0.680
'[00:00:00.274 01/01/2011]',-41.201,38.401,41.801,3.400,3.600,0.680
'[00:00:00.275 01/01/2011]',-40.201,38.201,43.401,3.900,5.300,0.680
'[00:00:00.276 01/01/2011]',-39.901,38.001,44.601,4.600,6.800,0.680
'[00:00:00.277 01/01/2011]',-40.601,37.801,45.201,5.200,8.100,0.680
'[00:00:00.278 01/01/2011]',-42.201,37.701,45.201,5.200,8.800,0.680
'[00:00:00.279 01/01/2011]',-44.101,37.601,44.801,4.300,8.800,0.680
'[00:00:00.280 01/01/2011]',-45.701,37.601,44.501,2.600,8.100,0.720
'[00:00:00.281 01/01/2011]',-46.201,37.601,44.401,0.600,6.800,0.720
'[00:00:00.282 01/01/2011]',-45.501,37.401,44.501,-1.000,5.500,0.720
'[00:00:00.283 01/01/2011]',-44.001,36.801,44.501,-1.800,4.400,0.720
'[00:00:00.284 01/01/2011]',-42.901,35.701,44.201,-1.500,3.900,0.720
'[00:00:00.285 01/01/2011]',-42.801,34.401,43.401,-0.600,3.800,0.720
'[00:00:00.286 01/01/2011]',-44.301,33.501,42.401,0.800,3.900,0.720
'[00:00:00.287 01/01/2011]',-46.401,33.501,41.601,2.100,4.100,0.720
'[00:00:00.288 01/01/2011]',-48.301,34.701,41.601,3.200,4.300,0.720
'[00:00:00.289 01/01/2011]',-48.901,37.001,42.301,4.200,4.400,0.720
'[00:00:00.290 01/01/2011]',-48.201,39.701,43.401,5.100,4.600,0.579
'[00:00:00.291 01/01/2011]',-46.801,42.201,44.501,6.000,4.900,0.579
'[00:00:00.292 01/01/2011]',-45.501,43.701,44.901,6.500,5.000,0.579
'[00:00:00.293 01/01/2011]',-44.901,44.101,44.401,6.600,4.900,0.579
'[00:00:00.294 01/01/2011]',-45.101,43.501,43.201,6.300,4.500,0.579
'[00:00:00.295 01/01/2011]',-45.601,42.401,41.501,5.500,3.900,0.579
'[00:00:00.296 01/01/2011]',-46.001,41.301,39.701,4.600,3.300,0.579
'[00:00:00.297 01/01/2011]',-46.201,40.601,37.701,3.700,2.700,0.579
'[00:00:00.298 01/01/2011]',-46.001,40.301,35.701,2.600,2.200,0.579
'[00:00:00.299 01/01/2011]',-45.401,40.101,33.701,1.400,1.600,0.579
'[00:00:00.300 01/01/2011]',-44.301,39.701,31.900,-0.100,0.700,0.822
'[00:00:00.301 01/01/2011]',-43.001,39.101,30.700,-1.500,-0.300,0.822
'[00:00:00.302 01/01/2011]',-41.901,38.501,30.400,-2.600,-0.800,0.822
'[00:00:00.303 01/01/2011]',-41.701,38.401,31.300,-2.800,-0.600,0.822
'[00:00:00.304 01/01/2011]',-42.501,39.301,33.301,-2.000,0.600,0.822
'[00:00:00.305 01/01/2011]',-44.201,41.301,36.101,-0.100,2.700,0.822
'[00:00:00.306 01/01/2011]',-45.601,43.901,39.201,2.300,5.200,0.822
'[00:00:00.307 01/01/2011]',-46.101,46.401,41.901,4.600,7.400,0.822
'[00:00:00.308 01/01/2011]',-45.401,48.001,43.801,6.200,8.700,0.822
'[00:00:00.309 01/01/2011]',-44.201,48.001,44.501,6.500,9.000,0.822
'[00:00:00.310 01/01/2011]',-43.601,46.601,43.901,5.600,8.300,0.579
'[00:00:00.311 01/01/2011]',-44.201,44.301,42.001,3.700,6.900,0.579
'[00:00:00.312 01/01/2011]',-45.601,41.501,39.201,1.200,5.100,0.579
'[00:00:00.313 01/01/2011]',-46.701,38.901,36.101,-1.200,3.100,0.579
'[00:00:00.314 01/01/2011]',-46.701,36.701,33.101,-3.100,1.000,0.579
'[00:00:00.315 01/01/2011]',-45.501,34.901,30.700,-4.000,-0.800,0.579
'[00:00:00.316 01/01/2011]',-44.201,33.601,29.100,-3.800,-2.100,0.579
'[00:00:00.317 01/01/2011]',-43.701,32.801,28.400,-2.800,-2.700,0.579
'[00:00:00.318 01/01/2011]',-44.501,32.500,28.400,-1.500,-2.500,0.579
